	name	clade	strain
465	EPI-ISL-15120740_Morocco_2017	B.D.3.2	EPI-ISL-15120740
466	EPI-ISL-15120742_Morocco_2017	B.D.3.2	EPI-ISL-15120742
467	EPI-ISL-15120693_Morocco_2016	B.D.3.2	EPI-ISL-15120693
468	EPI-ISL-15120700_Morocco_2016	B.D.3.2	EPI-ISL-15120700
469	EPI-ISL-15120766_Morocco_2017	B.D.3.2	EPI-ISL-15120766
470	EPI-ISL-15120736_Morocco_2016	B.D.3.2	EPI-ISL-15120736
471	EPI-ISL-15120704_Morocco_2016	B.D.3.2	EPI-ISL-15120704
472	EPI-ISL-15120711_Morocco_2016	B.D.3.2	EPI-ISL-15120711
473	EPI-ISL-15120708_Morocco_2016	B.D.3.2	EPI-ISL-15120708
474	EPI-ISL-15120686_Morocco_2015	B.D.3.2	EPI-ISL-15120686
475	EPI-ISL-15120784_Morocco_2018	B.D.3.2	EPI-ISL-15120784
476	EPI-ISL-15120712_Morocco_2016	B.D.3.2	EPI-ISL-15120712
477	ON237138_Argentina_2015	B.D.3.2	ON237138
478	EPI-ISL-15120749_Morocco_2017	B.D.3.2	EPI-ISL-15120749
479	EPI-ISL-15120733_Morocco_2016	B.D.3.2	EPI-ISL-15120733
480	EPI-ISL-15120684_Morocco_2015	B.D.3.2	EPI-ISL-15120684
481	EPI-ISL-15120767_Morocco_2017	B.D.3.2	EPI-ISL-15120767
482	EPI-ISL-16905450_Morocco_2016	B.D.3.2	EPI-ISL-16905450
483	EPI-ISL-6494786_England_2014	B.D.3.2	EPI-ISL-6494786
484	EPI-ISL-5522627_Cote-dIvoire_2017	B.D.3.2	EPI-ISL-5522627
485	LR699742_Spain_2017	B.D.3.2	LR699742
486	EPI-ISL-6174132_Cote-dIvoire_2017	B.D.3.2	EPI-ISL-6174132
487	EPI-ISL-6174133_Cote-dIvoire_2017	B.D.3.2	EPI-ISL-6174133
488	MZ516032_Netherlands_2017	B.D.3.2	MZ516032
489	EPI-ISL-15120691_Morocco_2016	B.D.3.2	EPI-ISL-15120691
490	MZ515889_Netherlands_2019	B.D.3.2	MZ515889
491	EPI-ISL-15120737_Morocco_2017	B.D.3.2	EPI-ISL-15120737
492	EPI-ISL-15120751_Morocco_2017	B.D.3.2	EPI-ISL-15120751
493	EPI-ISL-15120758_Morocco_2017	B.D.3.2	EPI-ISL-15120758
494	EPI-ISL-15120759_Morocco_2017	B.D.3.2	EPI-ISL-15120759
495	EPI-ISL-15120755_Morocco_2017	B.D.3.2	EPI-ISL-15120755
496	EPI-ISL-15120768_Morocco_2017	B.D.3.2	EPI-ISL-15120768
497	EPI-ISL-15120725_Morocco_2016	B.D.3.2	EPI-ISL-15120725
498	EPI-ISL-15120747_Morocco_2017	B.D.3.2	EPI-ISL-15120747
499	EPI-ISL-15120724_Morocco_2016	B.D.3.2	EPI-ISL-15120724
500	EPI-ISL-15120720_Morocco_2016	B.D.3.2	EPI-ISL-15120720
501	EPI-ISL-15120697_Morocco_2016	B.D.3.2	EPI-ISL-15120697
502	EPI-ISL-15120744_Morocco_2017	B.D.3.2	EPI-ISL-15120744
503	EPI-ISL-15120702_Morocco_2016	B.D.3.2	EPI-ISL-15120702
504	EPI-ISL-15120714_Morocco_2016	B.D.3.2	EPI-ISL-15120714
505	EPI-ISL-15120701_Morocco_2016	B.D.3.2	EPI-ISL-15120701
506	EPI-ISL-16905449_Morocco_2016	B.D.3.2	EPI-ISL-16905449
507	KY674984_USA_2016	B.D.3.2	KY674984
508	EPI-ISL-15120763_Morocco_2017	B.D.3.2	EPI-ISL-15120763
509	EPI-ISL-15120750_Morocco_2017	B.D.3.2	EPI-ISL-15120750
510	EPI-ISL-15120732_Morocco_2016	B.D.3.2	EPI-ISL-15120732
511	EPI-ISL-15120741_Morocco_2017	B.D.3.2	EPI-ISL-15120741
512	EPI-ISL-15120760_Morocco_2017	B.D.3.2	EPI-ISL-15120760
513	EPI-ISL-15120753_Morocco_2017	B.D.3.2	EPI-ISL-15120753
514	EPI-ISL-15120695_Morocco_2016	B.D.3.2	EPI-ISL-15120695
515	EPI-ISL-15120709_Morocco_2016	B.D.3.2	EPI-ISL-15120709
516	EPI-ISL-15120696_Morocco_2016	B.D.3.2	EPI-ISL-15120696
517	EPI-ISL-15120710_Morocco_2016	B.D.3.2	EPI-ISL-15120710
518	EPI-ISL-15120735_Morocco_2016	B.D.3.2	EPI-ISL-15120735
519	EPI-ISL-15120748_Morocco_2017	B.D.3.2	EPI-ISL-15120748
520	ON237208_Argentina_2016	B.D.3.2	ON237208
521	KY249660_United-Kingdom_2013	B.D.3.2	KY249660
522	EPI-ISL-15772196_USA_2017	B.D.3.2.1	EPI-ISL-15772196
523	MZ515970_United-Kingdom_2018	B.D.3.2.1	MZ515970
524	OQ261736_Austria_2019	B.D.3.2.1	OQ261736
525	MZ515591_United-Kingdom_2018	B.D.3.2.1	MZ515591
526	EPI-ISL-6268457_China_2020	B.D.3.2.1	EPI-ISL-6268457
527	EPI-ISL-6268597_China_2020	B.D.3.2.1	EPI-ISL-6268597
528	EPI-ISL-6494813_England_2016	B.D.3.2.1	EPI-ISL-6494813
529	MZ515608_Spain_2019	B.D.3.2.1	MZ515608
530	EPI-ISL-15067703_Argentina_2018	B.D.3.2.1	EPI-ISL-15067703
531	EPI-ISL-15055347_Argentina_2018	B.D.3.2.1	EPI-ISL-15055347
532	EPI-ISL-15067694_Argentina_2018	B.D.3.2.1	EPI-ISL-15067694
533	MZ515613_United-Kingdom_2018	B.D.3.2.1	MZ515613
534	MZ516095_Netherlands_2018	B.D.3.2.1	MZ516095
535	MZ515761_Netherlands_2018	B.D.3.2.1	MZ515761
536	MZ516022_Netherlands_2018	B.D.3.2.1	MZ516022
537	EPI-ISL-10954009_England_2018	B.D.3.2.1	EPI-ISL-10954009
538	MK534511_Russia_2018	B.D.3.2.1	MK534511
539	MZ515612_Netherlands_2017	B.D.3.2.1	MZ515612
540	MK534510_Russia_2018	B.D.3.2.1	MK534510
541	MZ515625_Netherlands_2018	B.D.3.2.1	MZ515625
542	MZ515865_Netherlands_2018	B.D.3.2.1	MZ515865
543	MZ515665_Netherlands_2017	B.D.3.2.1	MZ515665
544	MZ515683_Netherlands_2018	B.D.3.2.1	MZ515683
545	MZ516113_Netherlands_2019	B.D.3.2.1	MZ516113
546	EPI-ISL-15120779_Morocco_2017	B.D.3.2.1	EPI-ISL-15120779
547	MZ515694_United-Kingdom_2018	B.D.3.2.1	MZ515694
548	MZ516107_United-Kingdom_2018	B.D.3.2.1	MZ516107
549	MZ515637_United-Kingdom_2018	B.D.3.2.1	MZ515637
550	MZ515716_United-Kingdom_2018	B.D.3.2.1	MZ515716
551	MZ515849_Netherlands_2017	B.D.3.2.1	MZ515849
552	MZ515925_United-Kingdom_2019	B.D.3.2.1	MZ515925
553	MZ515817_Netherlands_2017	B.D.3.2.1	MZ515817
554	MZ515667_United-Kingdom_2018	B.D.3.2.1	MZ515667
555	MZ515704_Netherlands_2018	B.D.3.2.1	MZ515704
556	MZ515561_United-Kingdom_2019	B.D.3.2.1	MZ515561
557	MZ515890_United-Kingdom_2018	B.D.3.2.1	MZ515890
558	MZ515627_United-Kingdom_2018	B.D.3.2.1	MZ515627
559	MZ515809_United-Kingdom_2018	B.D.3.2.1	MZ515809
560	EPI-ISL-15120794_Morocco_2019	B.D.3.2.1	EPI-ISL-15120794
561	EPI-ISL-15120799_Morocco_2019	B.D.3.2.1	EPI-ISL-15120799
562	MZ515669_United-Kingdom_2018	B.D.3.2.1	MZ515669
563	MZ515698_United-Kingdom_2018	B.D.3.2.1	MZ515698
564	MZ515663_Netherlands_2018	B.D.3.2.1	MZ515663
565	MZ515926_Netherlands_2017	B.D.3.2.1	MZ515926
566	MZ516060_Netherlands_2018	B.D.3.2.1	MZ516060
567	EPI-ISL-15067699_Argentina_2018	B.D.3.2.1	EPI-ISL-15067699
568	MZ515738_Spain_2018	B.D.3.2.1	MZ515738
569	ON237212_Argentina_2017	B.D.3.2.1	ON237212
570	EPI-ISL-6494817_England_2016	B.D.3.2.1	EPI-ISL-6494817
571	ON237171_Argentina_2016	B.D.3.2.1	ON237171
572	EPI-ISL-16929307_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16929307
573	EPI-ISL-16881203_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16881203
574	EPI-ISL-16881208_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16881208
575	EPI-ISL-16881198_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16881198
576	EPI-ISL-16881187_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16881187
577	EPI-ISL-16714718_England_2022	B.D.3.2.1.1	EPI-ISL-16714718
578	EPI-ISL-16714722_England_2022	B.D.3.2.1.1	EPI-ISL-16714722
579	EPI-ISL-16881189_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16881189
580	EPI-ISL-16672884_England_2022	B.D.3.2.1.1	EPI-ISL-16672884
581	EPI-ISL-16714614_England_2021	B.D.3.2.1.1	EPI-ISL-16714614
582	EPI-ISL-16714573_England_2022	B.D.3.2.1.1	EPI-ISL-16714573
583	EPI-ISL-16714709_England_2022	B.D.3.2.1.1	EPI-ISL-16714709
584	EPI-ISL-16737028_England_2022	B.D.3.2.1.1	EPI-ISL-16737028
585	EPI-ISL-16672925_England_2022	B.D.3.2.1.1	EPI-ISL-16672925
586	EPI-ISL-16672817_England_2022	B.D.3.2.1.1	EPI-ISL-16672817
587	EPI-ISL-16714686_England_2021	B.D.3.2.1.1	EPI-ISL-16714686
588	EPI-ISL-13231411_Israel_2021	B.D.3.2.1.1	EPI-ISL-13231411
589	EPI-ISL-13231438_Israel_2021	B.D.3.2.1.1	EPI-ISL-13231438
590	EPI-ISL-14769851_South-Africa_2022	B.D.3.2.1.1	EPI-ISL-14769851
591	EPI-ISL-16714707_England_2022	B.D.3.2.1.1	EPI-ISL-16714707
592	EPI-ISL-16714387_England_2021	B.D.3.2.1.1	EPI-ISL-16714387
593	EPI-ISL-16714806_Australia_2022	B.D.3.2.1.1	EPI-ISL-16714806
594	EPI-ISL-16609708_England_2022	B.D.3.2.1.1	EPI-ISL-16609708
595	EPI-ISL-16881188_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16881188
596	OQ357797_USA_2022	B.D.3.2.1.1	OQ357797
597	EPI-ISL-16881199_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16881199
598	EPI-ISL-16737025_England_2022	B.D.3.2.1.1	EPI-ISL-16737025
599	EPI-ISL-16714585_England_2022	B.D.3.2.1.1	EPI-ISL-16714585
600	EPI-ISL-16714370_England_2021	B.D.3.2.1.1	EPI-ISL-16714370
601	EPI-ISL-16714660_England_2021	B.D.3.2.1.1	EPI-ISL-16714660
602	EPI-ISL-16714668_England_2021	B.D.3.2.1.1	EPI-ISL-16714668
603	EPI-ISL-16672811_England_2022	B.D.3.2.1.1	EPI-ISL-16672811
604	EPI-ISL-16714659_England_2021	B.D.3.2.1.1	EPI-ISL-16714659
605	EPI-ISL-16714616_England_2021	B.D.3.2.1.1	EPI-ISL-16714616
606	EPI-ISL-16714287_England_2021	B.D.3.2.1.1	EPI-ISL-16714287
607	EPI-ISL-16714351_England_2021	B.D.3.2.1.1	EPI-ISL-16714351
608	EPI-ISL-16714670_England_2021	B.D.3.2.1.1	EPI-ISL-16714670
609	EPI-ISL-16714736_England_2022	B.D.3.2.1.1	EPI-ISL-16714736
610	EPI-ISL-16714685_England_2021	B.D.3.2.1.1	EPI-ISL-16714685
611	EPI-ISL-16714724_England_2022	B.D.3.2.1.1	EPI-ISL-16714724
612	EPI-ISL-16714716_England_2022	B.D.3.2.1.1	EPI-ISL-16714716
613	EPI-ISL-16737039_England_2022	B.D.3.2.1.1	EPI-ISL-16737039
614	EPI-ISL-16714706_England_2022	B.D.3.2.1.1	EPI-ISL-16714706
615	EPI-ISL-16714738_England_2022	B.D.3.2.1.1	EPI-ISL-16714738
616	EPI-ISL-16609721_England_2022	B.D.3.2.1.1	EPI-ISL-16609721
617	EPI-ISL-16714589_England_2022	B.D.3.2.1.1	EPI-ISL-16714589
618	EPI-ISL-16714712_England_2022	B.D.3.2.1.1	EPI-ISL-16714712
619	EPI-ISL-16714735_England_2022	B.D.3.2.1.1	EPI-ISL-16714735
620	EPI-ISL-16609768_England_2022	B.D.3.2.1.1	EPI-ISL-16609768
621	EPI-ISL-16714675_England_2021	B.D.3.2.1.1	EPI-ISL-16714675
622	EPI-ISL-16714648_England_2021	B.D.3.2.1.1	EPI-ISL-16714648
623	OP890346_USA_2022	B.D.3.2.1.1	OP890346
624	EPI-ISL-15055353_Argentina_2021	B.D.3.2.1.1	EPI-ISL-15055353
625	EPI-ISL-16714678_England_2021	B.D.3.2.1.1	EPI-ISL-16714678
626	EPI-ISL-16709000_England_2021	B.D.3.2.1.1	EPI-ISL-16709000
627	EPI-ISL-16714418_England_2021	B.D.3.2.1.1	EPI-ISL-16714418
628	EPI-ISL-16609729_England_2022	B.D.3.2.1.1	EPI-ISL-16609729
629	EPI-ISL-16714349_England_2021	B.D.3.2.1.1	EPI-ISL-16714349
630	EPI-ISL-16672917_England_2022	B.D.3.2.1.1	EPI-ISL-16672917
631	EPI-ISL-16609722_England_2022	B.D.3.2.1.1	EPI-ISL-16609722
632	EPI-ISL-16714746_Australia_2022	B.D.3.2.1.1	EPI-ISL-16714746
633	EPI-ISL-16714674_England_2021	B.D.3.2.1.1	EPI-ISL-16714674
634	EPI-ISL-16714283_England_2021	B.D.3.2.1.1	EPI-ISL-16714283
635	EPI-ISL-16681312_USA_2022	B.D.3.2.1.1	EPI-ISL-16681312
636	EPI-ISL-16714737_England_2022	B.D.3.2.1.1	EPI-ISL-16714737
637	EPI-ISL-16672809_England_2022	B.D.3.2.1.1	EPI-ISL-16672809
638	EPI-ISL-16006114_Macedonia_2022	B.D.3.2.1.1	EPI-ISL-16006114
639	EPI-ISL-16006115_Macedonia_2022	B.D.3.2.1.1	EPI-ISL-16006115
640	EPI-ISL-16714739_England_2022	B.D.3.2.1.1	EPI-ISL-16714739
641	EPI-ISL-16672922_England_2022	B.D.3.2.1.1	EPI-ISL-16672922
642	EPI-ISL-16672801_England_2022	B.D.3.2.1.1	EPI-ISL-16672801
643	EPI-ISL-16714466_England_2022	B.D.3.2.1.1	EPI-ISL-16714466
644	EPI-ISL-16714472_England_2022	B.D.3.2.1.1	EPI-ISL-16714472
645	EPI-ISL-16006111_Macedonia_2022	B.D.3.2.1.1	EPI-ISL-16006111
646	EPI-ISL-15055351_Argentina_2021	B.D.3.2.1.1	EPI-ISL-15055351
647	EPI-ISL-15055352_Argentina_2021	B.D.3.2.1.1	EPI-ISL-15055352
648	EPI-ISL-16609728_England_2022	B.D.3.2.1.1	EPI-ISL-16609728
649	EPI-ISL-16132381_USA_2022	B.D.3.2.1.1	EPI-ISL-16132381
650	EPI-ISL-16714734_England_2022	B.D.3.2.1.1	EPI-ISL-16714734
651	OP890343_USA_2022	B.D.3.2.1.1	OP890343
652	OP890345_USA_2022	B.D.3.2.1.1	OP890345
653	OQ357796_USA_2022	B.D.3.2.1.1	OQ357796
654	EPI-ISL-16672891_England_2022	B.D.3.2.1.1	EPI-ISL-16672891
655	EPI-ISL-16609732_England_2022	B.D.3.2.1.1	EPI-ISL-16609732
656	EPI-ISL-16881197_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16881197
657	EPI-ISL-16929305_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16929305
658	EPI-ISL-16881201_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16881201
659	OP965700_USA_2021	B.D.3.2.1.1	OP965700
660	OP965703_USA_2021	B.D.3.2.1.1	OP965703
661	OP965709_USA_2022	B.D.3.2.1.1	OP965709
662	EPI-ISL-17066789_Australia_2022	B.D.3.2.1.1	EPI-ISL-17066789
663	EPI-ISL-16672808_England_2022	B.D.3.2.1.1	EPI-ISL-16672808
664	EPI-ISL-16681272_USA_2022	B.D.3.2.1.1	EPI-ISL-16681272
665	OP890348_USA_2022	B.D.3.2.1.1	OP890348
666	EPI-ISL-16672815_England_2022	B.D.3.2.1.1	EPI-ISL-16672815
667	OP965707_USA_2021	B.D.3.2.1.1	OP965707
668	EPI-ISL-16681286_USA_2022	B.D.3.2.1.1	EPI-ISL-16681286
669	OP890341_USA_2022	B.D.3.2.1.1	OP890341
670	EPI-ISL-16609737_England_2022	B.D.3.2.1.1	EPI-ISL-16609737
671	EPI-ISL-16006110_Macedonia_2022	B.D.3.2.1.1	EPI-ISL-16006110
672	EPI-ISL-16672890_England_2022	B.D.3.2.1.1	EPI-ISL-16672890
673	EPI-ISL-16714644_England_2021	B.D.3.2.1.1	EPI-ISL-16714644
674	EPI-ISL-16881202_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16881202
675	EPI-ISL-16609753_England_2022	B.D.3.2.1.1	EPI-ISL-16609753
676	EPI-ISL-16714424_England_2021	B.D.3.2.1.1	EPI-ISL-16714424
677	EPI-ISL-16672933_England_2022	B.D.3.2.1.1	EPI-ISL-16672933
678	EPI-ISL-16609745_England_2022	B.D.3.2.1.1	EPI-ISL-16609745
679	EPI-ISL-16672810_England_2022	B.D.3.2.1.1	EPI-ISL-16672810
680	EPI-ISL-16672803_England_2022	B.D.3.2.1.1	EPI-ISL-16672803
681	EPI-ISL-16609724_England_2022	B.D.3.2.1.1	EPI-ISL-16609724
682	EPI-ISL-16881196_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16881196
683	EPI-ISL-16929303_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16929303
684	EPI-ISL-16714708_England_2022	B.D.3.2.1.1	EPI-ISL-16714708
685	EPI-ISL-16672799_England_2022	B.D.3.2.1.1	EPI-ISL-16672799
686	EPI-ISL-16714720_England_2022	B.D.3.2.1.1	EPI-ISL-16714720
687	EPI-ISL-16714742_England_2022	B.D.3.2.1.1	EPI-ISL-16714742
688	EPI-ISL-16672812_England_2022	B.D.3.2.1.1	EPI-ISL-16672812
689	EPI-ISL-16714594_England_2022	B.D.3.2.1.1	EPI-ISL-16714594
690	EPI-ISL-16609738_England_2022	B.D.3.2.1.1	EPI-ISL-16609738
691	EPI-ISL-16714574_England_2022	B.D.3.2.1.1	EPI-ISL-16714574
692	EPI-ISL-16609762_England_2022	B.D.3.2.1.1	EPI-ISL-16609762
693	OP965698_USA_2021	B.D.3.2.1.1	OP965698
694	OP965701_USA_2021	B.D.3.2.1.1	OP965701
695	EPI-ISL-16714583_England_2022	B.D.3.2.1.1	EPI-ISL-16714583
696	EPI-ISL-16881190_Scotland_2022	B.D.3.2.1.1	EPI-ISL-16881190
697	EPI-ISL-16714805_Australia_2022	B.D.3.2.1.1	EPI-ISL-16714805
698	EPI-ISL-16714811_Australia_2022	B.D.3.2.1.1	EPI-ISL-16714811
699	EPI-ISL-17066780_Australia_2022	B.D.3.2.1.1	EPI-ISL-17066780
700	EPI-ISL-16714748_Australia_2022	B.D.3.2.1.1	EPI-ISL-16714748
701	EPI-ISL-16737024_England_2022	B.D.3.2.1.1	EPI-ISL-16737024
702	EPI-ISL-16746476_England_2022	B.D.3.2.1.1	EPI-ISL-16746476
703	EPI-ISL-16714278_England_2021	B.D.3.2.1.1	EPI-ISL-16714278
704	EPI-ISL-16681200_USA_2022	B.D.3.2.1.1	EPI-ISL-16681200
705	EPI-ISL-17066830_Australia_2022	B.D.3.2.1.1	EPI-ISL-17066830
706	OP890347_USA_2022	B.D.3.2.1.1	OP890347
707	EPI-ISL-15120792_Morocco_2019	B.D.3.2.1	EPI-ISL-15120792
708	EPI-ISL-15120791_Morocco_2019	B.D.3.2.1	EPI-ISL-15120791
709	EPI-ISL-15120797_Morocco_2019	B.D.3.2.1	EPI-ISL-15120797
710	EPI-ISL-15120798_Morocco_2019	B.D.3.2.1	EPI-ISL-15120798
711	EPI-ISL-15120787_Morocco_2019	B.D.3.2.1	EPI-ISL-15120787
712	EPI-ISL-15120796_Morocco_2019	B.D.3.2.1	EPI-ISL-15120796
713	EPI-ISL-5522628_Cote-dIvoire_2019	B.D.3.2.1	EPI-ISL-5522628
714	MZ151850_Russia_2019	B.D.3.2.1	MZ151850
715	MZ151856_Russia_2020	B.D.3.2.1	MZ151856
716	EPI-ISL-15120790_Morocco_2019	B.D.3.2.1	EPI-ISL-15120790
717	MZ515769_United-Kingdom_2019	B.D.3.2.1	MZ515769
718	MZ515710_Netherlands_2017	B.D.3.2.1	MZ515710
719	MZ516094_Netherlands_2018	B.D.3.2.1	MZ516094
720	MZ515743_Netherlands_2017	B.D.3.2.1	MZ515743
721	MZ515955_Netherlands_2018	B.D.3.2.1	MZ515955
722	EPI-ISL-15120754_Morocco_2017	B.D.3.2.1	EPI-ISL-15120754
723	EPI-ISL-16905446_Morocco_2017	B.D.3.2.1	EPI-ISL-16905446
724	EPI-ISL-6268623_China_2021	B.D.3.2.1	EPI-ISL-6268623
725	EPI-ISL-6314642_China_2021	B.D.3.2.1	EPI-ISL-6314642
726	EPI-ISL-6314470_China_2021	B.D.3.2.1	EPI-ISL-6314470
727	EPI-ISL-6314465_China_2021	B.D.3.2.1	EPI-ISL-6314465
728	EPI-ISL-6314663_China_2021	B.D.3.2.1	EPI-ISL-6314663
729	EPI-ISL-6268628_China_2021	B.D.3.2.1	EPI-ISL-6268628
730	EPI-ISL-6208721_Egypt_2019	B.D.3.2.1	EPI-ISL-6208721
731	EPI-ISL-15728622_South-Africa_2022	B.D.3.2.1	EPI-ISL-15728622
732	EPI-ISL-15728624_South-Africa_2022	B.D.3.2.1	EPI-ISL-15728624
733	EPI-ISL-11055778_South-Africa_2022	B.D.3.2.1	EPI-ISL-11055778
734	EPI-ISL-14769847_South-Africa_2022	B.D.3.2.1	EPI-ISL-14769847
735	EPI-ISL-15728632_South-Africa_2022	B.D.3.2.1	EPI-ISL-15728632
736	EPI-ISL-14769855_South-Africa_2022	B.D.3.2.1	EPI-ISL-14769855
737	EPI-ISL-15728627_South-Africa_2022	B.D.3.2.1	EPI-ISL-15728627
738	EPI-ISL-15728634_South-Africa_2022	B.D.3.2.1	EPI-ISL-15728634
739	EPI-ISL-15728628_South-Africa_2022	B.D.3.2.1	EPI-ISL-15728628
740	EPI-ISL-15728631_South-Africa_2022	B.D.3.2.1	EPI-ISL-15728631
741	EPI-ISL-14769856_South-Africa_2022	B.D.3.2.1	EPI-ISL-14769856
742	EPI-ISL-11055772_South-Africa_2022	B.D.3.2.1	EPI-ISL-11055772
743	EPI-ISL-14769854_South-Africa_2022	B.D.3.2.1	EPI-ISL-14769854
744	EPI-ISL-11055798_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055798
745	EPI-ISL-11055771_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055771
746	MZ515599_Netherlands_2019	B.D.3.2.1	MZ515599
747	EPI-ISL-11428314_England_2018	B.D.3.2.1	EPI-ISL-11428314
748	MZ515557_United-Kingdom_2018	B.D.3.2.1	MZ515557
749	MZ515671_United-Kingdom_2018	B.D.3.2.1	MZ515671
750	MZ516021_United-Kingdom_2018	B.D.3.2.1	MZ516021
751	MZ515672_United-Kingdom_2019	B.D.3.2.1	MZ515672
752	MZ515756_United-Kingdom_2018	B.D.3.2.1	MZ515756
753	MZ516056_Spain_2020	B.D.3.2.1	MZ516056
754	OM857392_Australia_2020	B.D.3.2.1	OM857392
755	MZ515759_United-Kingdom_2018	B.D.3.2.1	MZ515759
756	MZ515779_United-Kingdom_2018	B.D.3.2.1	MZ515779
757	MZ515707_United-Kingdom_2018	B.D.3.2.1	MZ515707
758	EPI-ISL-15067702_Argentina_2018	B.D.3.2.1	EPI-ISL-15067702
759	EPI-ISL-11055769_South-Africa_2021	B.D.3.2.1	EPI-ISL-11055769
760	EPI-ISL-12529655_South-Africa_2021	B.D.3.2.1	EPI-ISL-12529655
761	OQ331212_USA_2019	B.D.3.2.1	OQ331212
762	OQ331214_USA_2019	B.D.3.2.1	OQ331214
763	MZ515605_Netherlands_2019	B.D.3.2.1	MZ515605
764	EPI-ISL-6314659_China_2021	B.D.3.2.1	EPI-ISL-6314659
765	MZ515562_Netherlands_2018	B.D.3.2.1	MZ515562
766	EPI-ISL-15120789_Morocco_2019	B.D.3.2.1	EPI-ISL-15120789
767	MZ515584_United-Kingdom_2018	B.D.3.2.1	MZ515584
768	MZ516061_United-Kingdom_2018	B.D.3.2.1	MZ516061
769	MT373703_Russia_2019	B.D.3.2.1	MT373703
770	EPI-ISL-16881192_Scotland_2022	B.D.3.2.1	EPI-ISL-16881192
771	EPI-ISL-16881193_Scotland_2022	B.D.3.2.1	EPI-ISL-16881193
772	EPI-ISL-16881207_Scotland_2022	B.D.3.2.1	EPI-ISL-16881207
773	EPI-ISL-16881205_Scotland_2022	B.D.3.2.1	EPI-ISL-16881205
774	EPI-ISL-16881191_Scotland_2022	B.D.3.2.1	EPI-ISL-16881191
775	EPI-ISL-16714580_England_2022	B.D.3.2.1	EPI-ISL-16714580
776	EPI-ISL-16714623_England_2021	B.D.3.2.1	EPI-ISL-16714623
777	EPI-ISL-16714640_England_2021	B.D.3.2.1	EPI-ISL-16714640
778	EPI-ISL-16714572_England_2022	B.D.3.2.1	EPI-ISL-16714572
779	EPI-ISL-16881194_Scotland_2022	B.D.3.2.1	EPI-ISL-16881194
780	EPI-ISL-16881195_Scotland_2022	B.D.3.2.1	EPI-ISL-16881195
781	EPI-ISL-16714663_England_2021	B.D.3.2.1	EPI-ISL-16714663
782	EPI-ISL-16714733_England_2022	B.D.3.2.1	EPI-ISL-16714733
783	EPI-ISL-16714330_England_2021	B.D.3.2.1	EPI-ISL-16714330
784	EPI-ISL-16714634_England_2021	B.D.3.2.1	EPI-ISL-16714634
785	EPI-ISL-16714629_England_2021	B.D.3.2.1	EPI-ISL-16714629
786	EPI-ISL-16714650_England_2021	B.D.3.2.1	EPI-ISL-16714650
787	EPI-ISL-16737034_England_2021	B.D.3.2.1	EPI-ISL-16737034
788	EPI-ISL-16714626_England_2021	B.D.3.2.1	EPI-ISL-16714626
789	EPI-ISL-16714651_England_2021	B.D.3.2.1	EPI-ISL-16714651
790	EPI-ISL-16714359_England_2021	B.D.3.2.1	EPI-ISL-16714359
791	EPI-ISL-16714647_England_2021	B.D.3.2.1	EPI-ISL-16714647
792	EPI-ISL-16714612_England_2021	B.D.3.2.1	EPI-ISL-16714612
793	EPI-ISL-16714597_England_2021	B.D.3.2.1	EPI-ISL-16714597
794	EPI-ISL-16714421_England_2021	B.D.3.2.1	EPI-ISL-16714421
795	EPI-ISL-16714645_England_2021	B.D.3.2.1	EPI-ISL-16714645
796	EPI-ISL-16714305_England_2022	B.D.3.2.1	EPI-ISL-16714305
797	EPI-ISL-16714665_England_2021	B.D.3.2.1	EPI-ISL-16714665
798	EPI-ISL-16714687_England_2021	B.D.3.2.1	EPI-ISL-16714687
799	EPI-ISL-15120793_Morocco_2019	B.D.3.2.1	EPI-ISL-15120793
800	MZ515775_United-Kingdom_2018	B.D.3.2.1	MZ515775
801	MZ515846_United-Kingdom_2018	B.D.3.2.1	MZ515846
802	EPI-ISL-12544916_Vietnam_2017	B.D.3.2.1	EPI-ISL-12544916
803	MZ515839_United-Kingdom_2019	B.D.3.2.1	MZ515839
804	MZ515807_United-Kingdom_2018	B.D.3.2.1	MZ515807
805	MZ516062_Netherlands_2018	B.D.3.2.1	MZ516062
806	EPI-ISL-16714600_England_2021	B.D.3.2.1	EPI-ISL-16714600
807	EPI-ISL-16714613_England_2021	B.D.3.2.1	EPI-ISL-16714613
808	EPI-ISL-16714610_England_2021	B.D.3.2.1	EPI-ISL-16714610
809	EPI-ISL-16714599_England_2021	B.D.3.2.1	EPI-ISL-16714599
